Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.54542541503906,35.424693329871594,26.90012004829192,29.05148348598712,855215656
2007-10-08,30.879335403442383,33.64537299695017,30.68522665535057,33.64537299695017,126671715
2007-10-09,32.98217010498047,33.27333102819074,29.229417128249786,30.895508777439975,116725709
2007-10-10,33.28951644897461,33.96889505208489,32.998355444192676,33.839488454654,67931378
2007-10-11,37.009918212890625,38.8215930219612,32.998355385045606,38.8215930219612,106320954
2007-10-12,36.767269134521484,38.14219971308791,35.90996035723603,36.233473434545786,99410791
2007-10-15,37.25254821777344,37.7539962477967,36.929035058246704,37.52753528095677,41814972
2007-10-16,41.0538330078125,41.70086379620668,37.042270202511624,37.30107900752642,138614496
2007-10-17,44.256591796875,45.291830810628525,34.32473830154414,36.880492432741484,204876259
2007-10-18,42.703739166259766,48.349044673798645,40.87589097789229,44.9683309293873,146617799
2007-10-19,42.55817413330078,44.28897068231998,40.43915997757362,41.733212816028534,110266491
2007-10-22,41.99201965332031,43.30224619854249,40.60091043002232,41.700858686374055,72253405
2007-10-23,44.98451232910156,45.388903743345445,43.02725525140456,43.02725525140456,74594921
2007-10-24,44.28896713256836,46.42415502246985,43.787519065100796,45.93888085901514,63055170
2007-10-25,44.19190979003906,45.227153715320995,39.03187284322265,42.784626587459286,34522489
2007-10-26,45.5182991027832,46.24620350425056,43.755151130724876,44.968325133170474,62370025
2007-10-29,46.440311431884766,47.55643325031077,46.03592010461835,46.26238100305824,43657697
2007-10-30,47.475555419921875,48.75342939303811,45.680055277649046,47.07116408894963,79921711
2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
2007-11-01,47.37850570678711,50.03131497606693,46.990292605771515,49.65927577545422,50632492
2007-11-02,48.23582077026367,48.52698611833335,45.29185020010208,45.66389383642933,32001693
2007-11-05,49.22252655029297,50.306296226989275,47.91229596637288,48.20346124363972,38833135
2007-11-06,49.869564056396484,53.02381724977588,49.19018556792919,50.0798467250362,81880281
2007-11-07,49.141666412353516,51.50331097134222,48.0417224312893,50.791584577914094,33593141
2007-11-08,48.30051040649414,49.610740908918125,47.23291908267604,47.87994519115407,27990521
2007-11-12,49.46516799926758,50.33865517252419,45.56683229690677,46.844710867425235,35153735
2007-11-13,50.645999908447266,51.665065551299,48.704920821899826,50.3063128234728,43830531
2007-11-14,49.98278045654297,52.24737185492058,49.7239673782581,51.53564137454552,36738579
2007-11-15,50.823936462402344,51.71359773966419,49.86957079162279,50.920988664750425,29242252
2007-11-16,50.468055725097656,51.61652545129008,49.88572952432617,50.59746008484893,18895294
2007-11-19,52.2959098815918,54.1884625744143,51.228318305090724,51.61653142930581,40716718
2007-11-20,51.48712158203125,53.54143062190732,50.85626928883412,52.08562168800057,26342171
2007-11-21,47.475555419921875,52.10179049107365,46.32708140720464,51.794455712290805,26814499
2007-11-22,45.8418083190918,48.882834406764225,43.852203999806086,46.97410395958749,34096185
2007-11-23,48.882843017578125,49.1740039274089,46.132977304053334,48.85049083027977,27664090
2007-11-26,49.271060943603516,50.69451783327973,48.882847821652355,50.69451783327973,20159123
2007-11-27,48.05788040161133,50.11218937819072,47.55643687277575,50.11218937819072,20573198
2007-11-28,47.34614562988281,49.33575444432481,47.022632572305476,49.109293548850005,16435311
2007-11-29,46.068267822265625,48.785776400459895,45.46976783834797,48.52696773127046,25530967
2007-11-30,47.84762191772461,48.13878296487419,46.262407871750895,46.909434371162966,18437721
2007-12-03,48.526973724365234,49.125473782197815,48.05787801710885,48.42991717048796,16851227
2007-12-04,47.89613342285156,49.25489041246924,47.540268079101416,48.85049897364587,14008727
2007-12-05,49.80484390258789,49.98277871042896,47.87994391396798,47.97699607248019,27725290
2007-12-06,48.882843017578125,51.64887824286127,48.25199072300544,50.888621587022385,24104710
2007-12-07,48.67255401611328,49.88572808104569,47.79907132211816,49.19017582806985,11742386
2007-12-10,48.7210807800293,49.319576429492244,48.09022855911895,49.1416460020184,8330010
2007-12-11,48.49462127685547,49.432808298355596,48.251986475367836,49.15782131241758,11685950
2007-12-12,48.46227264404297,48.89901619631353,47.556437740607606,47.87995083296697,16342131
2007-12-13,47.65349578857422,49.17400926530553,47.47556532100952,48.52698300081181,14620172
2007-12-14,47.18438720703125,47.928469842346374,46.94175242358802,47.49172635456327,10991851
2007-12-17,44.33747863769531,47.71819204951651,43.67427419669672,47.45937895500721,19355678
2007-12-18,44.14337158203125,45.615354383709644,42.76844095200724,43.83603239191387,21607783
2007-12-19,43.3345947265625,45.95505198327339,42.96255550093888,45.566834468231896,19526912
2007-12-20,42.89784622192383,44.25660298152633,42.703737486562446,43.90073769801832,17105204
2007-12-24,44.20807647705078,44.90362874992519,43.18900672301207,43.54487200315835,16711519
2007-12-26,45.55064392089844,46.10061780157238,44.45070054747664,44.45070054747664,20930094
2007-12-27,45.874176025390625,47.135876431341245,45.48595849066985,46.48885013209191,44565277
2007-12-28,46.23003005981445,46.424138779696335,45.29183864503983,45.77710825078111,18354518
2007-12-31,46.56972122192383,46.84470823418982,46.00357329758154,46.58589950966138,11982308
2008-01-01,47.42702865600586,47.863772205170164,46.375611113315955,46.81235466248026,16687746
2008-01-02,47.1682243347168,47.78289838552361,46.47267200385836,47.42703307571097,13437280
2008-01-03,49.10928726196289,49.303395949245164,46.310900549748894,46.877048328031975,31815218
2008-01-04,48.85048294067383,50.46804816507431,48.52696989579374,49.82102207531412,28011310
2008-01-07,48.446109771728516,49.56222756165882,47.92848782854883,48.543161966356145,15858063
2008-01-08,46.796180725097656,49.17400281267912,46.23003281795574,48.4946244465234,13282666
2008-01-09,46.052093505859375,47.0549848642491,45.938863057860644,46.844702253923835,13113527
2008-01-10,44.95215606689453,47.556439171502255,44.644816864734956,46.26238676312891,18023003
2008-01-11,45.63153076171875,46.06827429174438,43.83603055781936,45.56682639137165,11629440
2008-01-14,46.32709884643555,46.812368626275706,44.98451999979679,45.71242466955702,10264240
2008-01-15,44.91981506347656,47.26528563764111,44.54777578102234,47.07118123839777,11558334
2008-01-16,43.9977912902832,44.968330610454416,42.881673704842704,44.59629141530758,14834065
2008-01-17,45.178611755371094,46.181503133167304,43.221355081880944,44.159542091589614,16169395
2008-01-18,43.075767517089844,44.855088987386026,42.70372406295999,44.80655852785548,13254156
2008-01-21,35.748199462890625,42.70372977756315,31.13813647897006,42.70372977756315,33202389
2008-01-22,32.15721130371094,33.968885612588906,25.541366393195094,32.221913487464356,58755707
2008-01-23,35.748199462890625,37.123129873930544,32.67482560291905,32.67482560291905,28425991
2008-01-24,35.829078674316406,38.36865696682665,34.130635180258324,37.67310479446436,29911930
2008-01-25,37.6731071472168,37.851037578726256,36.15259397859735,37.527524512035036,12550722
2008-01-28,38.07750701904297,38.368667966769344,34.13064496519897,37.155493694636284,13601109
2008-01-29,37.4466552734375,38.72453395012439,36.88050727023432,38.174559848984444,7679877
2008-01-30,35.37616729736328,37.68928509516925,34.907071545085024,37.527528544442575,9016102
2008-01-31,33.06304931640625,35.8452630356978,32.67483400984467,35.74820866056646,41538563
2008-02-01,34.21152114868164,34.45415598820523,33.321860070428464,33.62919709503226,9089201
2008-02-04,35.97465896606445,36.395226363649414,34.85853939883135,34.85853939883135,12009385
2008-02-05,37.090789794921875,37.57605951009831,35.26294141200956,36.03937207870628,14593303
2008-02-06,36.767269134521484,37.20401266647503,34.71296240998266,36.07171689589091,12429218
2008-02-07,35.03647994995117,37.511356622978276,34.81002120578259,36.26583023910545,11300078
2008-02-08,34.13064956665039,35.55410669360967,33.49979710491935,35.26294570662933,13514197
